vin_txt	year_int	make_txt	model_txt	color_txt	cost_num
JN1CV6AP5BM611363	2001	Isuzu	Rodeo	Violet	31112.48
JN1AZ4EH0FM197529	1999	Nissan	Sentra	Purple	25023.94
5UXKU2C56F0415122	2009	Pontiac	G8	Crimson	39315.33
2G4GU5EV9C9783460	2002	Jaguar	X-Type	Crimson	26692.88
1FMJU1J55AE120947	1988	Acura	Legend	Aquamarine	29453.26
WVWAN7AN5EE929541	1987	Pontiac	Safari	Khaki	35132.35
JN1AV7AP1FM993152	1984	Mercury	Marquis	Goldenrod	28629.86
2C4JRGAG6ER320726	2007	Lexus	GS	Yellow	32630.43
SCBGU3ZA1FC113868	2009	Hummer	H3T	Orange	30848.03
WBAKN9C56FD647006	2008	Pontiac	Vibe	Aquamarine	25751.96
SCBDR33W09C056074	2006	Mitsubishi	Endeavor	Puce	25069.30
WAUMV94E38N553556	1992	GMC	Safari	Khaki	30874.92
WAUKF98E78A784417	2007	Toyota	Highlander	Green	37618.50
JM1BL1K30B1279993	2004	Oldsmobile	Silhouette	Fuscia	28653.59
WBAET37493N109472	1996	Dodge	Dakota	Pink	33719.25
3D73Y3CL7BG483875	2007	Ford	F-Series	Red	28346.51
WBABV13436J954658	1987	Ford	F-Series	Green	28458.98
3C3CFFAR9CT546528	1992	GMC	Vandura 3500	Red	35000.71
JM1DE1KYXD0563395	1996	Ford	Aspire	Purple	33664.81
137FA84351E582503	1994	Cadillac	Fleetwood	Goldenrod	37919.70
3C63D2JL9CG487731	1989	Suzuki	SJ	Turquoise	34955.40
1G6KD57Y52U094235	1993	Mitsubishi	Expo	Indigo	38621.77
1G4HJ5EM1AU581345	2006	Volvo	S80	Crimson	39158.57
2T1BURHE0FC167846	1992	Suzuki	Samurai	Teal	35172.32
3D73M4CL4BG284297	1992	Mazda	MPV	Indigo	35007.37
KMHHT6KD7EU653952	2007	Panoz	Esperante	Violet	26781.63
2G4GP5EC8B9392501	2004	Buick	Century	Yellow	32669.67
1LNHL9DK2DG798102	2007	Chevrolet	Monte Carlo	Mauv	28276.94
JH4KB16667C395572	1996	Mitsubishi	Truck	Turquoise	38310.27
2C3CDXBG9DH791218	2002	Cadillac	Escalade	Green	29373.52
WAUNF98PX6A960484	2007	Suzuki	Daewoo Lacetti	Blue	36731.93
1G6AD5S38D0135488	2011	Toyota	FJ Cruiser	Red	30488.75
3D7TP2CT7AG937425	1992	Audi	100	Orange	39839.23
1FADP3E21FL232399	1993	Chevrolet	Lumina	Fuscia	37883.29
WAUDL94FX5N094357	1998	Chrysler	Town & Country	Turquoise	28771.66
WAURVAFD8CN803524	1985	Ford	F-Series	Blue	32896.80
KNAGM4ADXD5646891	1995	Hyundai	Sonata	Blue	28447.05
3D7TT2CT9BG422441	2002	Ford	F-Series	Puce	25283.50
1C3CDFCB7ED730025	1988	Ford	LTD Crown Victoria	Goldenrod	34824.96
5TFAW5F12EX083669	2011	Audi	A4	Puce	34758.42
1N6AF0KX6EN372592	2003	Saturn	VUE	Khaki	33494.57
5N1CR2MM0EC086665	1986	Buick	LeSabre	Blue	33055.39
KNAFK4A63F5818619	2011	Chevrolet	Silverado	Pink	35650.77
1J4NF1GB9AD644098	1984	Ford	Tempo	Orange	30175.28
JN1CV6EK3EM716728	2010	Mitsubishi	Lancer	Yellow	28355.12
WAUNF98P67A560228	2000	Ford	Crown Victoria	Yellow	33331.75
1G6DJ8ED0B0115504	2004	Audi	S4	Fuscia	28087.02
4F2CY0C76AK802802	2011	Maybach	57	Blue	30147.72
3C3CFFCR0FT753052	1998	Mazda	B-Series Plus	Green	38193.36
3VW4S7AT4EM769938	1994	Land Rover	Defender	Orange	39853.45
5TDDK3DC3FS278947	2004	Pontiac	Montana	Yellow	27823.29
WBANE735X6C387877	2000	Cadillac	Eldorado	Aquamarine	28595.42
5N1AR2MM7FC145557	2001	Subaru	Outback	Indigo	34101.58
1N6AA0EJ3FN746146	2007	Hyundai	Santa Fe	Maroon	34036.23
1D4SD6GT2BC122539	2007	Toyota	Land Cruiser	Aquamarine	32963.40
WAUEH74F28N217499	1999	Dodge	Ram Van 3500	Orange	25359.83
WAUPEAFM7AA179789	2006	Honda	Ridgeline	Turquoise	31166.19
1G4GD5GD3BF640398	1995	Acura	Legend	Teal	36842.46
SCFEBBEL6DG837154	2002	Isuzu	Rodeo Sport	Mauv	27685.71
1D7RW3BKXAS412718	2009	Saab	9-7X	Khaki	34843.70
WBA3R5C5XFK736851	1995	Dodge	Dakota Club	Aquamarine	30968.30
5UXWX7C5XBL934799	1992	Volkswagen	Eurovan	Red	34640.43
1GYFK66877R394651	2003	Volkswagen	GTI	Crimson	26263.84
WA1AM74L19D671845	2006	Nissan	350Z	Fuscia	28615.99
WAURMAFD9EN117949	1995	Dodge	Avenger	Fuscia	29758.18
WBXPC93419W004886	2002	Subaru	Outback	Crimson	28989.77
WAUDF48H79K184109	2012	Mitsubishi	Galant	Indigo	28883.25
1D7RE3BK6BS805118	1990	Lotus	Esprit	Indigo	29267.65
1G6AH5RX9D0233426	1995	Dodge	Ram 1500 Club	Khaki	25317.15
3D7JV1EP3AG374090	2012	Ford	Mustang	Maroon	33115.16
WBAPM735X9E414564	2007	Ford	E350	Crimson	26412.30
2FMPK4J99FB147852	2002	Cadillac	Escalade	Mauv	38337.47
1GKKRNED7EJ013714	2006	Peugeot	207	Aquamarine	38261.51
